coach_id,name,playoff_attempts,nba_champ_count,div_count,nba_champ_per_attempt,playoff_score,playoff_score_per_attempt,last_nba_champ_season,min_max_sum
https://www.basketball-reference.com/coaches/karlge01c.html,George Karl,22,0,1,0.0,0.142189226127318,0.37742390547009497,0,0.519613131597413
https://www.basketball-reference.com/coaches/saundfl99c.html,Flip Saunders,11,0,0,0.0,0.16649637363165185,0.3268259724094304,0,0.49332234604108227
https://www.basketball-reference.com/coaches/mottadi99c.html,Dick Motta,14,1,2,0.12499999999999994,0.04720173611565942,0.2595163301056227,1978,0.43171806622128206
https://www.basketball-reference.com/coaches/shuege01c.html,Gene Shue,10,0,2,0.0,0.11127012405192624,0.25319017944088706,0,0.36446030349281333
https://www.basketball-reference.com/coaches/ramsaja99c.html,Jack Ramsay,16,1,1,0.109375,0.0,0.2510100088794938,1977,0.3603850088794938
https://www.basketball-reference.com/coaches/thiboto99c.html,Tom Thibodeau,8,0,0,0.0,0.12546994327931987,0.22300187917986752,0,0.3484718224591874
https://www.basketball-reference.com/coaches/harrile99c.html,Les Harrison,6,1,1,0.2916666666666666,0.04597548071394983,0.0,1951,0.3376421473806164
https://www.basketball-reference.com/coaches/caseydw99c.html,Dwane Casey,6,0,0,0.0,0.14789731766637412,0.18785226239306396,0,0.3357495800594381
https://www.basketball-reference.com/coaches/moedo01c.html,Doug Moe,12,0,0,0.0,0.06913133086190104,0.2475685344006611,0,0.3166998652625621
https://www.basketball-reference.com/coaches/fratemi99c.html,Mike Fratello,11,0,0,0.0,0.06597435998201004,0.22576838349072637,0,0.29174274347273643
https://www.basketball-reference.com/coaches/seymopa01c.html,Paul Seymour,6,0,0,0.0,0.0580448176336254,0.022245009644042246,0,0.08028982727766765
https://www.basketball-reference.com/coaches/gueriri01c.html,Richie Guerin,8,0,0,0.0,0.012897514158337509,0.06739009279205083,0,0.08028760695038833
